rank,age,player_name,gamertag,num_frst,num_scnd,num_thrd,num_top3,earnings,earnings_per_top3,log_earnings,is_outlier
1,26,Stéphane Lebleu,Shaiiko,20,14,6,40,882912,22073,13.6909819469856,True
2,28,Loïc Chongthep,BriD,16,18,3,37,750959,20296,13.529107667010873,True
3,26,Jaime Ramos,Cyber,10,2,10,22,593322,26969,13.293494217718166,True
4,24,Gustavo Herdina,HerdsZ,5,9,8,22,557192,25327,13.230666957994805,True
5,22,Diego Zanello,Kheyze,6,10,8,24,557089,23212,13.230482085749076,True
6,22,João Vitor,Jv92,8,6,10,24,556901,23204,13.230144560880344,True
7,28,Troy Jaroslawski,Canadian,11,10,7,28,547040,19537,13.212279032891347,True
8,24,Lucas Romero Schinke,soulz1,11,2,8,21,547039,26049,13.212277204873129,True
9,21,Théo Mariano,LikEfac,11,9,1,21,541864,25803,13.202772171906059,True
10,23,Felipe De Lucia,FelipoX,5,4,9,18,541572,30087,13.202233147048023,True
11,29,Bryan Tebessi,Elemzje,20,13,8,41,518075,12636,13.157877228626283,True
12,31,Olivier Vandroux,Renshiro,18,12,7,37,508571,13745,13.139362077367775,True
13,30,Julio Coelho Neto Giacomelli,Julio,4,11,8,23,486596,21156,13.095191544084441,True
14,29,Emilio Leynez Cuevas,Geometrics,4,8,6,18,473133,26285,13.067133925449992,True
15,23,Jason Doty,Beaulo,7,6,4,17,458811,26989,13.036395819082758,True
16,25,,KDS,8,3,10,21,458418,21829,13.03553889204028,True
17,26,Gustavo Eugênio Rigal Dos Santos,Psycho,4,9,9,22,454066,20639,13.026000043227569,True
18,22,Felipe Sá Ferreira,nade,4,3,6,13,444588,34199,13.00490553886563,True
19,30,André Oliveira,nesk,9,11,11,31,444186,14329,13.00400092391785,True
20,24,Alec Fultz,Fultz,8,4,8,20,435896,21795,12.985161255890343,True
21,24,Gabriel Fernandes Meliato Paravizo,pino,3,6,5,14,429285,30663,12.969878642453315,True
22,26,Artur Ipatov,ShepparD,18,8,5,31,422166,13618,12.953156249333022,True
23,25,Luccas Vinicius Molina,Paluh,15,8,10,33,421838,12783,12.952379003634501,True
24,26,Danil Gabov,JoyStiCK,16,8,5,29,421541,14536,12.951674695588014,True
25,24,Murilo Ripoli Moscatelli,Muzi,3,5,5,13,419445,32265,12.946690071931437,True
26,30,Jake Grannan,Virtue,5,7,5,17,415226,24425,12.936580637621264,True
27,26,Juhani Toivonen,Kantoraketti,13,7,4,24,408952,17040,12.921355513996343,True
28,23,Victor Augusto dos Santos,VITAKING,11,4,6,21,393767,18751,12.883517182362828,True
29,25,Bryan Wrzek,Merc,7,6,4,17,389821,22931,12.873445503662555,True
30,22,Thiago Sá Ferreira,Handyy,7,1,7,15,389781,25985,12.873342887462446,True
31,26,João Fabiano De Campos Gomes,Kamikaze,4,8,8,20,389489,19474,12.872593470022409,True
32,23,Karl Azevedo Zarth,Alem4o,4,4,2,10,388937,38894,12.871175226864338,True
33,27,Matthew Solomon,Achieved,7,7,3,17,386666,22745,12.865319136483032,True
34,29,Dylan Bosco,Bosco,8,4,8,20,376983,18849,12.83995802521123,True
35,27,Niclas Mouritzen,Pengu,14,5,6,25,372503,14900,12.82800305499913,True
36,24,Josh Pritchard,Yuzus,10,10,6,26,371418,14285,12.825086084373595,True
37,25,Jack Robertson,Doki,8,4,4,16,365863,22866,12.810016958629348,True
38,24,Fatih Türker,Solotov,9,7,7,23,365082,15873,12.807880003974065,True
39,26,Nathanial Duvall,Rampy,9,4,7,20,363268,18163,12.802898885639314,True
40,24,Danila Dontsov,dan,10,7,4,21,351471,16737,12.769885328453967,True
41,21,Benjamin Dereli,Benjamaster,5,5,8,18,349705,19428,12.764848080467903,True
42,30,Fabian Hällsten,Fabian,13,4,6,23,344479,14977,12.74979131259819,True
43,30,Daniel Mazorra Romero,Goga,11,2,5,18,318997,17722,12.672940112154851,True
44,27,Dmitry Semenov,Scyther,13,8,3,24,313554,13065,12.655730062264054,True
45,27,Brady Davenport,Chala,5,4,2,11,312733,28430,12.653108267947745,True
46,32,Joonas Savolainen,jNSzki,10,2,4,16,299247,18703,12.60902794002278,True
47,26,Javier DeAndre Escamilla,Thinkingnade,6,2,5,13,296413,22801,12.59951240475689,True
48,26,Matthew Stevens,Hotancold,7,3,9,19,294783,15515,12.593998163740302,True
49,21,Gabriel Fernandes,volpz,3,10,4,17,292724,17219,12.586988880716925,True
50,31,Gabriel Hespanhol,cameram4n,6,5,11,22,275237,12511,12.525391456904316,True
51,31,Paulo Augusto Arneiro Lourenço,psk1,8,3,8,19,275083,14478,12.52483178455242,True
52,24,Byron Murray,Blurr,5,2,3,10,267276,26728,12.49604085278327,True
53,23,Dmitry Mitrahovich,Always,6,6,4,16,266131,16633,12.49174770527869,True
54,27,Adrien Rutik,RaFaLe,9,13,7,29,260880,8996,12.471819643635861,True
55,25,Davide Bucci,FoxA,7,4,14,25,258094,10324,12.461083013182755,True
56,25,José Victor Santos De Souza,Bullet1,8,1,7,16,247140,15446,12.417714302939547,True
57,22,Leonardo Biondi Figueiredo,Kyno,4,4,4,12,243859,20322,12.404349569114256,True
58,27,Leonardo Luis Buzzachera,Astro,5,4,12,21,236896,11281,12.375380726495566,True
59,25,Thiago Reis,xS3xyCake,9,3,8,20,229776,11489,12.34486455235555,True
60,23,Lorenzo Gomes Volpi,Lagonis,5,7,4,16,223700,13981,12.318065617740915,True
61,22,Pablo Oliveira,resetz,3,5,4,12,221542,18462,12.308371980551865,True
62,21,William Löfstedt,Spoit,11,5,1,17,216479,12734,12.285253443404615,True
63,23,Nick Rapier,njr,3,4,5,12,214788,17899,12.277411429877242,True
64,25,,Jlad,11,8,3,22,214344,9743,12.275342145418627,True
65,27,Tyler McMullin,Ecl9pse,6,6,8,20,213383,10669,12.270848638469085,True
66,27,João Deam,HSnamuringa,7,5,8,20,211714,10586,12.262996309596328,True
67,27,Franklyn Andres Cordero,VertcL,4,8,7,19,202834,10675,12.22014811963472,True
68,22,Roberto Feliciano,Panbazou,2,3,5,10,200145,20014,12.206802379209774,True
69,30,Aleksi Työppönen,UUNO,6,7,5,18,197451,10970,12.193250795810116,True
70,22,Leonardo Lopes,d4sh,5,3,4,12,197057,16421,12.191253380631823,True
71,23,João Miranda,Dotz,4,2,4,10,196872,19687,12.190314129780276,True
72,28,Gabriel Mirelez,LaXInG,5,4,11,20,196746,9837,12.189673918387035,True
73,25,,Okillz,8,9,4,21,195888,9328,12.185303451258601,True
74,22,Júlio Gabriel,L0BIN,3,8,5,16,192554,12035,12.168137106187137,True
75,27,Alexander Magor,Skys,5,4,7,16,189117,11820,12.150126437847844,True
76,22,David Ifidon,iconic,4,3,0,7,187488,26784,12.14147545600498,True
77,24,Paul Kontopanagiotis,Hyper,4,6,4,14,186825,13345,12.137932981386868,True
78,20,Fahad Albabtain,P9,11,8,1,20,186344,9317,12.135355073315887,True
79,26,Ben McMillan,CTZN,10,4,3,17,185419,10907,12.130378801160973,True
80,24,Reon Sakai,Anitun,9,7,7,23,182830,7949,12.11631750786948,True
81,24,Sho Hasegawa,BlackRay,9,7,7,23,182830,7949,12.11631750786948,True
82,23,Lucas Dias,DiasLucasBr,3,6,4,13,182553,14043,12.114801298648707,True
83,22,Arthur Oliveira,GMZ,2,6,4,12,181594,15133,12.109534211730642,True
84,26,Richard Coronado,Rexen,8,5,5,18,180512,10028,12.103558076322265,True
85,22,Evan Nelson,Yoggah,4,2,4,10,177819,17782,12.08852708167513,True
86,24,Pablo Rebeil,Gryxr,9,3,5,17,175286,10311,12.074179909574159,True
87,26,Eugene Petrishin,karzheka,10,3,4,17,170735,10043,12.047873782856346,True
88,22,Jack Burkard,J9O,4,2,2,8,169704,21213,12.041816914547846,True
89,25,Roman Breaux,Forrest,6,3,3,12,168174,14014,12.032760382893807,True
90,23,Nathan Sharp,Nafe,5,2,6,13,166431,12802,12.0223420965728,True
91,25,,Q6z.,6,8,1,15,164475,10965,12.010519941887075,True
92,23,Zachary Dionne,SpiriTz,6,3,2,11,163236,14840,12.0029584115023,True
93,25,,Joker619,8,7,4,19,161417,8496,11.991752552763197,True
94,26,Takuma Nakajima,SuzuC,9,9,5,23,155916,6779,11.957079093360115,True
95,26,Mitch Malson,Dream,5,4,4,13,150175,11552,11.919563218594144,True
96,25,Leon Giddens,LeonGids,7,4,5,16,145625,9102,11.888796970231315,True
97,23,Pavel Kosenko,p4sh4,3,3,9,15,144873,9658,11.883619678116073,True
98,24,Denis Navas,Dodez,2,1,5,8,140641,17580,11.853972933523238,True
99,23,Taiyo Hirayama,Ayagator,7,6,4,17,132997,7823,11.79808936949684,True
100,32,Valentin Liradelfo,risze,13,3,9,25,132462,5298,11.79405864012917,True
101,28,Bastien Dulac,BiBoo,7,10,8,25,132264,5291,11.792562764838904,True
102,23,Gaven Black,Gaveni,4,1,3,8,131963,16495,11.790284437098935,True
103,28,Maurice Erkelenz,AceeZ,9,3,3,15,130306,8687,11.777648483849537,True
104,22,Gabriel Santos,AsK,4,4,6,14,130277,9306,11.777425907721828,True
105,25,,Madskills,7,6,0,13,129067,9928,11.768094676241601,True
106,22,Gabriel Araujo Maia,Maia,3,4,4,11,126497,11500,11.747981776748048,True
107,25,,Hashom,14,9,1,24,125618,5234,11.741008795460845,True
108,32,Kim Seong-soo,EnvyTaylor,26,7,6,39,123006,3154,11.719996543304315,True
109,20,Shaun Pottorff,Gunnar,10,5,6,21,122656,5841,11.717147121029907,True
110,21,Ethan James,Nuers,2,2,3,7,121933,17419,11.711235193724407,True
111,25,Kaique Stephano Moreira,Faallz,1,2,7,10,121183,12118,11.70506533070152,True
