#,age,Name,Player,Achievements,Unnamed: 3,Unnamed: 4,Unnamed: 5,Earnings
1,26.0,Stéphane Lebleu,Shaiiko,,20,14,6,"$882,912"
2,28.0,Loïc Chongthep,BriD,,16,18,3,"$750,959"
3,26.0,Jaime Ramos,Cyber,,10,2,10,"$593,322"
4,24.0,Gustavo Herdina,HerdsZ,,5,9,8,"$557,192"
5,22.0,Diego Zanello,Kheyze,,6,10,8,"$557,089"
6,22.0,João Vitor,Jv92,,8,6,10,"$556,901"
7,28.0,Troy Jaroslawski,Canadian,,11,10,7,"$547,040"
8,24.0,Lucas Romero Schinke,soulz1,,11,2,8,"$547,039"
9,21.0,Théo Mariano,LikEfac,,11,9,1,"$541,864"
10,23.0,Felipe De Lucia,FelipoX,,5,4,9,"$541,572"
11,29.0,Bryan Tebessi,Elemzje,,20,13,8,"$518,075"
12,31.0,Olivier Vandroux,Renshiro,,18,12,7,"$508,571"
13,30.0,Julio Coelho Neto Giacomelli,Julio,,4,11,8,"$486,596"
14,29.0,Emilio Leynez Cuevas,Geometrics,,4,8,6,"$473,133"
15,23.0,Jason Doty,Beaulo,,7,6,4,"$458,811"
16,,,KDS,,8,3,10,"$458,418"
17,26.0,Gustavo Eugênio Rigal Dos Santos,Psycho,,4,9,9,"$454,066"
18,22.0,Felipe Sá Ferreira,nade,,4,3,6,"$444,588"
19,30.0,André Oliveira,nesk,,9,11,11,"$444,186"
20,24.0,Alec Fultz,Fultz,,8,4,8,"$435,896"
21,24.0,Gabriel Fernandes Meliato Paravizo,pino,,3,6,5,"$429,285"
22,26.0,Artur Ipatov,ShepparD,,18,8,5,"$422,166"
23,25.0,Luccas Vinicius Molina,Paluh,,15,8,10,"$421,838"
24,26.0,Danil Gabov,JoyStiCK,,16,8,5,"$421,541"
25,24.0,Murilo Ripoli Moscatelli,Muzi,,3,5,5,"$419,445"
26,30.0,Jake Grannan,Virtue,,5,7,5,"$415,226"
27,26.0,Juhani Toivonen,Kantoraketti,,13,7,4,"$408,952"
28,23.0,Victor Augusto dos Santos,VITAKING,,11,4,6,"$393,767"
29,25.0,Bryan Wrzek,Merc,,7,6,4,"$389,821"
30,22.0,Thiago Sá Ferreira,Handyy,,7,1,7,"$389,781"
31,26.0,João Fabiano De Campos Gomes,Kamikaze,,4,8,8,"$389,489"
32,23.0,Karl Azevedo Zarth,Alem4o,,4,4,2,"$388,937"
33,27.0,Matthew Solomon,Achieved,,7,7,3,"$386,666"
34,29.0,Dylan Bosco,Bosco,,8,4,8,"$376,983"
35,27.0,Niclas Mouritzen,Pengu,,14,5,6,"$372,503"
36,24.0,Josh Pritchard,Yuzus,,10,10,6,"$371,418"
37,25.0,Jack Robertson,Doki,,8,4,4,"$365,863"
